,Date,Team,Returned,Injured,Injury,Length
7569,2002-02-03,Clippers,,Elton Brand,bruised left hip,(DNP)
7570,2002-02-03,Grizzlies,,Jason Williams,recovering from surgery on toe,(DNP)
7571,2002-02-03,Hornets,,David Wesley,sore left ankle,(DNP)
7572,2002-02-03,Magic,,Horace Grant,intestinal virus,(DNP)
7573,2002-02-03,Mavericks,,Donnell Harvey,sprained right ankle,(DNP)
7574,2002-02-03,Mavericks,,Eduardo Najera,sore left knee,(DNP)
7575,2002-02-03,Pacers,,Carlos Rogers,bruised left shoulder,(DNP)
7576,2002-02-03,Suns,,Jake Voskuhl,left foot injury,(DNP)
7577,2002-02-03,Suns,,Rodney Rogers,sprained left ankle,(DNP)
7578,2002-02-03,Warriors,,Cedric Henderson,flu,(DNP)
7579,2002-02-03,Wizards,,Hubert Davis,viral infection,(DNP)
7580,2002-02-04,76ers,,Aaron McKie,sprained left ankle,(DNP)
7581,2002-02-04,Hornets,,David Wesley,broken bone in left foot,(out 3-4 weeks)
7582,2002-02-04,Kings,,Brent Price,sore lower back,(DNP)
7583,2002-02-04,Raptors,,Jerome Williams,sprained right ankle,(DNP)
7584,2002-02-04,Rockets,,Kelvin Cato,flu,(DNP)
7585,2002-02-05,76ers,,Aaron McKie,sprained left ankle,(DNP)
7586,2002-02-05,76ers,,Derrick Coleman,swollen left knee,(DNP)
7587,2002-02-05,Blazers,,Derek Anderson,sprained left big toe,(DNP)
7588,2002-02-05,Grizzlies,,Jason Williams,recovering from surgery on toe,(DNP)
7589,2002-02-05,Grizzlies,,Stromile Swift,sprained right toe,(DNP)
7590,2002-02-05,Hawks,,Theo Ratliff,bruised right hip,(DNP)
7591,2002-02-05,Mavericks,,Eduardo Najera,left knee tendinitis,(DNP)
7592,2002-02-05,Mavericks,,Greg Buckner,strained left calf,(DNP)
7593,2002-02-05,Pacers,,Carlos Rogers,strained left shoulder,(DNP)
7594,2002-02-05,Pacers,,Jermaine O'Neal,sprained left ankle,(DNP)
7595,2002-02-05,Raptors,,Jerome Williams,sprained right ankle,(DNP)
7596,2002-02-05,Raptors,,Tracy Murray,sprained left ankle,(DNP)
7597,2002-02-05,Sonics,,Vin Baker,neck spasms,(DNP)
7598,2002-02-05,Wizards,,Hubert Davis,viral infection,(DNP)
7599,2002-02-06,Blazers,,Derek Anderson,sprained left big toe,(DNP)
7600,2002-02-06,Bulls,,Charles Oakley,sore right wrist,(DNP)
7601,2002-02-06,Kings,,Brent Price,sore lower back,(DNP)
7602,2002-02-06,Kings,,Chris Webber,flu,(DNP)
7603,2002-02-06,Lakers,,Shaquille O'Neal,sore feet,(DNP)
7604,2002-02-06,Mavericks,,Eduardo Najera,left knee tendinitis,(DNP)
7605,2002-02-06,Mavericks,,Greg Buckner,strained left calf,(DNP)
7606,2002-02-06,Rockets,,Kenny Thomas,strained left calf,(DNP)
7607,2002-02-06,Suns,,Jake Voskuhl,left foot injury,(DNP)
7608,2002-02-06,Suns,,Rodney Rogers,sprained left ankle,(DNP)
7609,2002-02-06,Timberwolves,,Terrell Brandon,sore left knee,(DNP)
7610,2002-02-07,76ers,,Aaron McKie,sprained left ankle,(DNP)
7611,2002-02-07,76ers,,Derrick Coleman,swollen left knee,(DNP)
7612,2002-02-07,Bucks,,Tim Thomas,sprained left ankle,(DNP)
7613,2002-02-07,Grizzlies,,Jason Williams,recovering from surgery on toe,(DNP)
7614,2002-02-07,Grizzlies,,Stromile Swift,sprained right toe,(DNP)
7615,2002-02-07,Hawks,,Theo Ratliff,right hip injury,(DNP)
7616,2002-02-07,Kings,,Brent Price,sore lower back,(DNP)
7617,2002-02-07,Knicks,,Howard Eisley,upper respiratory infection,(DNP)
7618,2002-02-07,Raptors,,Jerome Williams,high right ankle sprain,(DNP)
7619,2002-02-07,Raptors,,Tracy Murray,sprained left ankle,(DNP)
7620,2002-02-07,Wizards,,Hubert Davis,viral infection,(DNP)
7621,2002-02-07,Wizards,,Jahidi White,viral infection,(DNP)
7622,2002-02-12,Bulls,,Charles Oakley,sprained right wrist,(DNP)
7623,2002-02-12,Grizzlies,,Jason Williams,recovering from surgery on toe,(DNP)
7624,2002-02-12,Grizzlies,,Stromile Swift,sprained right toe,(DNP)
7625,2002-02-12,Hawks,,Theo Ratliff,right hip injury,(DNP)
7626,2002-02-12,Kings,,Brent Price,sore lower back,(DNP)
7627,2002-02-12,Raptors,,Dell Curry,strained left calf,(DNP)
7628,2002-02-12,Raptors,,Jerome Williams,high right ankle sprain,(DNP)
7629,2002-02-12,Rockets,,Steve Francis,migraine headache,(DNP)
7630,2002-02-13,Bucks,,Sam Cassell,sprained left big toe,(DNP)
7631,2002-02-13,Bulls,,Charles Oakley,sprained right wrist,(DNP)
7632,2002-02-13,Cavaliers,,Vernell Coles / Bimbo Coles,sprained/swollen left knee,(DNP)
7633,2002-02-13,Raptors,,Dell Curry,strained left calf,(DNP)
7634,2002-02-13,Timberwolves,,Gary Trent,strained left hamstring,(DNP)
7635,2002-02-14,76ers,,Aaron McKie,sprained left ankle,(DNP)
7636,2002-02-14,Clippers,,Lamar Odom,sprained right ankle,(out 4-6 weeks)
7637,2002-02-14,Grizzlies,,Brevin Knight,sprained right ankle,(DNP)
7638,2002-02-14,Grizzlies,,Jason Williams,recovering from surgery on toe,(DNP)
7639,2002-02-14,Kings,,Brent Price,strained lower back,(DNP)
7640,2002-02-14,Nuggets,,Nick Van Exel,left elbow inflammation,(DNP)
7641,2002-02-14,Sonics,,Vin Baker,three dislocated toes on left foot,(out indefinitely)
7642,2002-02-14,Timberwolves,,Terrell Brandon,surgery on left knee to repair cartilage fracture on the surface of his left femur,(date approximate)
7643,2002-02-15,Bucks,,Jason Caffey,flu,(DNP)
7644,2002-02-15,Bucks,,Sam Cassell,sprained left big toe,(DNP)
7645,2002-02-15,Bulls,,Brad Miller,strained left calf,(DNP)
7646,2002-02-15,Bulls,,Charles Oakley,sore right wrist,(DNP)
7647,2002-02-15,Bulls,,Eddie Robinson,strained left groin,(DNP)
7648,2002-02-15,Hawks,,Theo Ratliff,right hip injury,(DNP)
7649,2002-02-15,Nets,,Kenyon Martin,bruised right forearm,(DNP)
7650,2002-02-15,Nuggets,,Nick Van Exel,left elbow inflammation,(DNP)
7651,2002-02-15,Raptors,,Dell Curry,strained left calf,(DNP)
7652,2002-02-15,Suns,,Jake Voskuhl,left foot injury,(DNP)
7653,2002-02-15,Timberwolves,,Gary Trent,strained left hamstring,(DNP)
7654,2002-02-15,Warriors,,Larry Hughes,sprained left ankle,(DNP)
7655,2002-02-15,Warriors,,Marc Jackson,ill,(DNP)
7656,2002-02-16,Bucks,,Jason Caffey,flu,(DNP)
7657,2002-02-16,Bulls,,Brad Miller,strained left calf,(Length Undetermined)
7658,2002-02-16,Bulls,,Charles Oakley,sore right wrist,(DNP)
7659,2002-02-16,Bulls,,Eddie Robinson,strained left groin,(DNP)
7660,2002-02-16,Bulls,,Ron Artest / Metta World Peace,dislocated left pinky finger,(DNP)
7661,2002-02-16,Clippers,,Quentin Richardson,sprained left mid-foot,(DNP)
7662,2002-02-16,Sonics,,Vin Baker,three dislocated toes on left foot,(DNP)
7663,2002-02-17,76ers,,Allen Iverson,sprained toe,(DNP)
7664,2002-02-17,Kings,,Brent Price,strained lower back,(DNP)
7665,2002-02-17,Kings,,Gerald Wallace,chicken pox,(DNP)
7666,2002-02-17,Kings,,Mateen Cleaves,plantar fasciatis in both feet,(DNP)
7667,2002-02-17,Nuggets,,Nick Van Exel,left elbow inflammation,(DNP)
7668,2002-02-17,Nuggets,,Ryan Bowen,sprained left ankle,(DNP)
7669,2002-02-17,Raptors,,Dell Curry,strained left calf,(DNP)
7670,2002-02-17,Sonics,,Vin Baker,three dislocated toes on left foot,(DNP)
7671,2002-02-17,Suns,,Jake Voskuhl,left foot injury,(DNP)
7672,2002-02-17,Timberwolves,,Gary Trent,strained left hamstring,(DNP)
7673,2002-02-18,76ers,,Aaron McKie,sprained left ankle,(DNP)
7674,2002-02-18,Bucks,,Sam Cassell,sprained left big toe,(DNP)
7675,2002-02-18,Bulls,,Charles Oakley,sore right wrist,(DNP)
7676,2002-02-18,Bulls,,Eddie Robinson,strained left groin,(DNP)
7677,2002-02-18,Nuggets,,Nick Van Exel,left elbow inflammation,(DNP)
7678,2002-02-18,Nuggets,,Ryan Bowen,sprained left ankle,(DNP)
7679,2002-02-18,Raptors,,Dell Curry,strained left calf,(DNP)
7680,2002-02-19,76ers,,Aaron McKie,sprained left ankle,(DNP)
7681,2002-02-19,Grizzlies,,Grant Long,strained right groin,(DNP)
7682,2002-02-19,Kings,,Brent Price,strained lower back,(DNP)
7683,2002-02-19,Kings,,Gerald Wallace,chicken pox,(DNP)
7684,2002-02-19,Kings,,Mateen Cleaves,plantar fasciatis in both feet,(DNP)
7685,2002-02-19,Nets,,Todd MacCulloch,plantar fasciaitis in left foot,(DNP)
7686,2002-02-19,Sonics,,Vin Baker,three dislocated toes on left foot,(DNP)
7687,2002-02-19,Suns,,Jake Voskuhl,left foot injury,(DNP)
7688,2002-02-19,Timberwolves,,Gary Trent,strained left hamstring,(DNP)
7689,2002-02-20,76ers,,Aaron McKie,sprained left ankle,(DNP)
7690,2002-02-20,Bulls,,Charles Oakley,sprained right wrist,(DNP)
7691,2002-02-20,Bulls,,Eddie Robinson,strained left groin,(DNP)
7692,2002-02-20,Bulls,,Marcus Fizer,flu,(DNP)
7693,2002-02-20,Clippers,,Elton Brand,stretched tendon in right ring finger,(DNP)
7694,2002-02-20,Nuggets,,Nick Van Exel,left elbow inflammation,(DNP)
7695,2002-02-20,Nuggets,,Ryan Bowen,sprained left ankle,(DNP)
7696,2002-02-20,Raptors,,Tracy Murray,back spasms,(DNP)
7697,2002-02-20,Sonics,,Vin Baker,three dislocated toes on left foot,(DNP)
7698,2002-02-20,Warriors,,Chris Mills,right ankle inflammation,(DNP)
7699,2002-02-20,Wizards,,Michael Jordan,bruised right knee,(DNP)
7700,2002-02-21,Blazers,,Scottie Pippen,viral infection,(DNP)
7701,2002-02-21,Grizzlies,,Grant Long,strained right groin,(DNP)
7702,2002-02-21,Grizzlies,,Jason Williams,recovering from surgery on toe,(DNP)
7703,2002-02-21,Kings,,Brent Price,strained lower back,(DNP)
7704,2002-02-21,Kings,,Gerald Wallace,chicken pox,(DNP)
7705,2002-02-21,Kings,,Mateen Cleaves,plantar fasciatis in both feet,(DNP)
7706,2002-02-21,Rockets,,Kelvin Cato,sprained left ankle,(DNP)
7707,2002-02-21,Spurs,,Stephen Jackson,nausea,(DNP)
7708,2002-02-21,Timberwolves,,Gary Trent,strained left hamstring,(DNP)
7709,2002-02-22,Bulls,,Eddie Robinson,strained left groin,(DNP)
7710,2002-02-22,Bulls,,Fred Hoiberg,sprained left wrist,(DNP)
7711,2002-02-22,Bulls,,Greg Anthony,bruised left hand,(DNP)
7712,2002-02-22,Suns,,Anfernee Hardaway / Penny Hardaway,sprained left knee,(DNP)
7713,2002-02-23,76ers,,Aaron McKie,sprained left ankle,(DNP)
7714,2002-02-23,76ers,,Derrick Coleman,flu,(DNP)
7715,2002-02-23,Blazers,,Scottie Pippen,viral infection,(DNP)
7716,2002-02-23,Bulls,,Eddie Robinson,strained left groin,(DNP)
7717,2002-02-23,Bulls,,Greg Anthony,bruised left hand,(DNP)
7718,2002-02-23,Kings,,Brent Price,strained lower back,(DNP)
7719,2002-02-23,Kings,,Gerald Wallace,chicken pox,(DNP)
7720,2002-02-23,Kings,,Mateen Cleaves,plantar fasciatis in both feet,(DNP)
7721,2002-02-23,Rockets,,Eddie Griffin,flu,(DNP)
7722,2002-02-23,Rockets,,Kevin Willis,back spasms,(DNP)
7723,2002-02-23,Timberwolves,,Gary Trent,strained left hamstring,(DNP)
7724,2002-02-23,Warriors,,Chris Mills,right ankle inflammation,(DNP)
7725,2002-02-24,Magic,,Pat Garrity,bruised right thigh,(DNP)
7726,2002-02-24,Magic,,Tracy McGrady,sore right foot,(DNP)
7727,2002-02-24,Suns,,Anfernee Hardaway / Penny Hardaway,left knee tendinitis,(DNP)
7728,2002-02-24,Wizards,,Ronald Jones / Popeye Jones,sore right elbow,(DNP)
7729,2002-02-25,Cavaliers,,Vernell Coles / Bimbo Coles,arthroscopic surgery on left knee,(out 6-8 weeks)
7730,2002-02-25,Grizzlies,,Brevin Knight,sprained right ankle,(DNP)
7731,2002-02-25,Grizzlies,,Grant Long,strained right groin,(DNP)
7732,2002-02-25,Grizzlies,,Jason Williams,recovering from surgery on toe,(DNP)
7733,2002-02-25,Timberwolves,,Gary Trent,strained left hamstring,(DNP)
7734,2002-02-26,Bulls,,Charles Oakley,strained left knee,(DNP)
7735,2002-02-26,Bulls,,Eddie Robinson,strained left groin,(DNP)
7736,2002-02-26,Bulls,,Greg Anthony,bruised left hand,(DNP)
7737,2002-02-26,Clippers,,Michael Olowokandi,sprained left knee,(DNP)
7738,2002-02-26,Grizzlies,,Brevin Knight,thigh cramps,(DNP)
7739,2002-02-26,Grizzlies,,Grant Long,strained right groin,(DNP)
7740,2002-02-26,Grizzlies,,Jason Williams,recovering from surgery on toe,(DNP)
7741,2002-02-26,Kings,,Brent Price,strained lower back,(DNP)
7742,2002-02-26,Rockets,,Kevin Willis,DNP,(Length Undetermined)
7743,2002-02-27,Bulls,,Charles Oakley,sore left knee,(DNP)
7744,2002-02-27,Bulls,,Eddie Robinson,strained left groin,(DNP)
7745,2002-02-27,Bulls,,Greg Anthony,bruised left hand,(DNP)
7746,2002-02-27,Nuggets,,Donnell Harvey,respiratory infection,(DNP)
7747,2002-02-27,Pistons,,Jerry Stackhouse,strained right shoulder,(DNP)
7748,2002-02-27,Timberwolves,,Gary Trent,strained left hamstring,(DNP)
7749,2002-02-27,Wizards,,Brendan Haywood,sore left knee,(DNP)
7750,2002-02-27,Wizards,,Jahidi White,strained left shoulder,(DNP)
7751,2002-02-27,Wizards,,Michael Jordan,arthroscopic surgery on right knee to repair torn cartilage,(out 2-6 weeks)
7752,2002-02-28,Clippers,,Corey Maggette,arthroscopic surgery on right knee,(Length Undetermined)
7753,2002-02-28,Grizzlies,,Brevin Knight,thigh cramps,(DNP)
7754,2002-02-28,Grizzlies,,Grant Long,sprained right groin,(DNP)
7755,2002-02-28,Grizzlies,,Jason Williams,recovering from surgery on toe,(DNP)
7756,2002-03-01,76ers,,Aaron McKie,sprained left ankle,(DNP)
7757,2002-03-01,76ers,,Vonteego Cummings,stomach virus,(DNP)
7758,2002-03-01,Bulls,,Charles Oakley,sore left knee,(DNP)
7759,2002-03-01,Bulls,,Eddie Robinson,strained left groin,(DNP)
7760,2002-03-01,Bulls,,Tyson Chandler,hyperextended left pinky finger,(DTD)
7761,2002-03-01,Grizzlies,,Brevin Knight,plantar fasciaitis in left foot,(DNP)
7762,2002-03-01,Grizzlies,,Jason Williams,recovering from surgery on toe,(DNP)
7763,2002-03-01,Hornets,,Bryce Drew,ear infection,(DNP)
7764,2002-03-01,Kings,,Brent Price,strained lower back,(DNP)
7765,2002-03-01,Raptors,,Dell Curry,sore right ankle,(DNP)
7766,2002-03-01,Wizards,,Brendan Haywood,sore left knee,(DNP)
7767,2002-03-01,Wizards,,Jahidi White,strained left shoulder,(DNP)
7768,2002-03-02,Clippers,,Keyon Dooling,sore left ankle,(DNP)
7769,2002-03-02,Hawks,,Dion Glover,stress fracture in right foot,(out for season)
7770,2002-03-02,Hawks,,Dion Glover,stress fracture in right foot,(DNP)
7771,2002-03-02,Warriors,,Jason Richardson,sprained left ankle,(DNP)
7772,2002-03-03,76ers,,Aaron McKie,sprained left ankle,(DNP)
7773,2002-03-03,76ers,,Vonteego Cummings,stomach virus,(DNP)
7774,2002-03-03,Bucks,,Sam Cassell,sprained left big toe,(DNP)
7775,2002-03-03,Bulls,,Tyson Chandler,hyperextended left pinky finger,(DTD)
7776,2002-03-03,Grizzlies,,Jason Williams,recovering from surgery on toe,(DNP)
7777,2002-03-03,Kings,,Brent Price,strained lower back,(DNP)
7778,2002-03-03,Wizards,,Richard Hamilton,stomach virus,(DNP)
7779,2002-03-04,76ers,,Aaron McKie,sprained left ankle,(DNP)
7780,2002-03-04,Celtics,,Tony Battie,right lower leg edema,(DNP)
7781,2002-03-04,Grizzlies,,Brevin Knight,strained hip,(DNP)
7782,2002-03-04,Grizzlies,,Jason Williams,recovering from surgery on toe,(DNP)
7783,2002-03-04,Hawks,,Dion Glover,stress fracture in right foot,(DNP)
7784,2002-03-04,Kings,,Brent Price,strained lower back,(DNP)
7785,2002-03-05,Bucks,,Jason Caffey,sore right ankle,(DNP)
7786,2002-03-05,Bulls,,Tyson Chandler,hyperextended left pinky finger,(DTD)
7787,2002-03-05,Hawks,,Dion Glover,stress fracture in right foot,(DNP)
7788,2002-03-05,Sonics,,Brent Barry,stomach flu,(DNP)
7789,2002-03-05,Warriors,,Jason Richardson,sprained left ankle,(DNP)
7790,2002-03-05,Wizards,,Kwame Brown,flu,(DNP)
7791,2002-03-06,76ers,,Aaron McKie,sprained left ankle,(DNP)
7792,2002-03-06,76ers,,Derrick Coleman,hyperextended left knee,(DNP)
7793,2002-03-06,Bucks,,Jason Caffey,sore right ankle,(DNP)
7794,2002-03-06,Bulls,,Tyson Chandler,hyperextended left pinky finger,(DTD)
7795,2002-03-06,Celtics,,Tony Battie,right lower leg edema,(DNP)
7796,2002-03-06,Magic,,Horace Grant,back spasms,(DNP)
7797,2002-03-07,Grizzlies,,Brevin Knight,strained hip,(DNP)
7798,2002-03-07,Grizzlies,,Lorenzen Wright,sore knees,(DNP)
7799,2002-03-07,Grizzlies,,Tony Massenburg,toe injury,(DNP)
7800,2002-03-07,Sonics,,Earl Watson,separated left shoulder,(DNP)
7801,2002-03-08,76ers,,Aaron McKie,sprained left ankle,(DNP)
7802,2002-03-08,76ers,,Derrick Coleman,hyperextended left knee,(DNP)
7803,2002-03-08,Bucks,,Jason Caffey,sore right ankle,(DNP)
7804,2002-03-08,Bucks,,Rafer Alston,sore right Achilles tendon,(DNP)
7805,2002-03-08,Bulls,,Tyson Chandler,hyperextended left pinky finger,(DTD)
7806,2002-03-08,Celtics,,Tony Battie,right lower leg edema,(DNP)
7807,2002-03-08,Kings,,Brent Price,strained lower back,(DNP)
7808,2002-03-08,Kings,,Scot Pollard,strained lower back,(DNP)
7809,2002-03-09,76ers,,Aaron McKie,sprained left ankle,(DNP)
7810,2002-03-09,76ers,,Derrick Coleman,hyperextended left knee,(DNP)
7811,2002-03-09,Bulls,,Marcus Fizer,sprained right ankle,(DNP)
7812,2002-03-09,Magic,,Mike Miller,sprained left ankle / deep bone bruise in left ankle,(out 3 weeks)
7813,2002-03-09,Sonics,,Vladimir Radmanovic,sprained right big toe,(DNP)
7814,2002-03-10,Bucks,,Jason Caffey,sore right ankle,(DNP)
7815,2002-03-10,Cavaliers,,Tyrone Hill,concussion,(DNP)
7816,2002-03-10,Celtics,,Tony Battie,right lower leg edema,(DNP)
7817,2002-03-10,Kings,,Brent Price,strained lower back,(DNP)
7818,2002-03-10,Rockets,,Walt Williams,sprained ankle,(DNP)
7819,2002-03-11,Bulls,,Marcus Fizer,sprained right ankle,(DNP)
7820,2002-03-11,Celtics,,Tony Battie,right lower leg edema,(DNP)
7821,2002-03-11,Grizzlies,,Brevin Knight,plantar fasciaitis in left foot,(DNP)
7822,2002-03-11,Sonics,,Vladimir Radmanovic,sprained right big toe,(DNP)
7823,2002-03-12,76ers,,Aaron McKie,sprained left ankle,(DNP)
7824,2002-03-12,Bucks,,Jason Caffey,sore right ankle,(DNP)
7825,2002-03-12,Bucks,,Tim Thomas,sprained right knee,(DNP)
7826,2002-03-12,Bulls,,Marcus Fizer,sprained right ankle,(DNP)
7827,2002-03-12,Grizzlies,,Brevin Knight,plantar fasciaitis in left foot,(DNP)
7828,2002-03-12,Grizzlies,,Rodney Buford,back spasms,(DNP)
7829,2002-03-12,Rockets,,Terence Morris,flu,(DNP)
7830,2002-03-12,Sonics,,Vladimir Radmanovic,sprained right big toe,(DNP)
7831,2002-03-13,76ers,,Aaron McKie,sprained left ankle,(DNP)
7832,2002-03-13,Celtics,,Tony Battie,right lower leg edema,(DNP)
7833,2002-03-13,Kings,,Brent Price,strained lower back,(DNP)
7834,2002-03-13,Pistons,,Jerry Stackhouse,sore right shoulder,(DNP)
7835,2002-03-13,Suns,,Tom Gugliotta,stress reaction in right foot,(DNP)
7836,2002-03-14,Kings,,Brent Price,strained lower back,(DNP)
7837,2002-03-14,Kings,,Chris Webber,dislocated right index finger,(DNP)
7838,2002-03-15,Grizzlies,,Brevin Knight,plantar fasciaitis in left foot,(DNP)
7839,2002-03-15,Grizzlies,,Rodney Buford,back spasms,(DNP)
7840,2002-03-15,Jazz,,Karl Malone,flu,(DNP)
7841,2002-03-15,Sonics,,Vladimir Radmanovic,sprained right big toe,(DNP)
7842,2002-03-15,Suns,,Tom Gugliotta,stress reaction in right foot,(DNP)
7843,2002-03-16,Bucks,,Jason Caffey,sore right ankle,(DNP)
7844,2002-03-16,Bucks,,Tim Thomas,sprained right knee,(DNP)
7845,2002-03-16,Bulls,,Eddie Robinson,sore left toe,(DNP)
7846,2002-03-16,Nuggets,,Antonio McDyess,sore right knee,(DNP)
7847,2002-03-16,Nuggets,,Donnell Harvey,bruised right thigh,(DNP)
7848,2002-03-16,Rockets,,Steve Francis,migraine headache,(DNP)
7849,2002-03-16,Sonics,,Rashard Lewis,strained left shoulder,(DNP)
7850,2002-03-16,Sonics,,Vladimir Radmanovic,sprained right big toe,(DNP)
7851,2002-03-16,Spurs,,Steve Smith,sprained right ankle,(DNP)
7852,2002-03-16,Suns,,Jake Voskuhl,sprained left ankle,(DNP)
7853,2002-03-16,Suns,,Tom Gugliotta,stress reaction in right leg,(DNP)
7854,2002-03-17,76ers,,Aaron McKie,sprained left ankle,(DNP)
7855,2002-03-17,76ers,,Matt Harpring,stomach virus,(DNP)
7856,2002-03-17,Grizzlies,,Brevin Knight,plantar fasciaitis in left foot,(DNP)
7857,2002-03-17,Kings,,Brent Price,strained lower back,(DNP)
7858,2002-03-17,Kings,,Predrag Stojakovic / Peja Stojakovic,strained right hamstring,(DNP)
7859,2002-03-18,Bucks,,Jason Caffey,sore right ankle,(DNP)
7860,2002-03-18,Bucks,,Tim Thomas,sprained right knee,(DNP)
7861,2002-03-19,Bucks,,Jason Caffey,sore right ankle,(DNP)
7862,2002-03-19,Bucks,,Tim Thomas,sprained right knee,(DNP)
7863,2002-03-19,Bulls,,Eddie Robinson,upset stomach,(DNP)
7864,2002-03-19,Cavaliers,,Tyrone Hill,sinus infection,(DNP)
7865,2002-03-19,Grizzlies,,Brevin Knight,plantar fasciaitis in left foot,(DNP)
7866,2002-03-19,Hawks,,Cal Bowdler,flu,(DNP)
7867,2002-03-19,Kings,,Mateen Cleaves,strained right plantar fasciaitis,(DNP)
7868,2002-03-19,Nets,,Lucious Harris,broken cheek bone,(DNP)
7869,2002-03-19,Rockets,,Eddie Griffin,sprained left ankle,(DNP)
7870,2002-03-19,Sonics,,Calvin Booth,surgery on right ankle,(Length Undetermined)
7871,2002-03-19,Sonics,,Vladimir Radmanovic,sprained right big toe,(DNP)
7872,2002-03-20,76ers,,Aaron McKie,sprained left ankle,(DNP)
7873,2002-03-20,76ers,,Derrick Coleman,hyperextended left knee,(DNP)
7874,2002-03-20,Cavaliers,,Tyrone Hill,sinus infection,(DNP)
7875,2002-03-20,Nets,,Lucious Harris,surgery on face to repair broken bone,(Length Undetermined)
7876,2002-03-20,Spurs,,Steve Smith,sprained right ankle,(DNP)
7877,2002-03-20,Wizards,,Brendan Haywood,sore right knee,(DNP)
7878,2002-03-21,Grizzlies,,Brevin Knight,plantar fasciaitis in left foot,(DNP)
7879,2002-03-21,Kings,,Mateen Cleaves,strained right plantar fasciaitis,(DNP)
7880,2002-03-21,Kings,,Predrag Stojakovic / Peja Stojakovic,strained right hamstring,(DNP)
7881,2002-03-21,Spurs,,Steve Smith,sprained right ankle,(DNP)
7882,2002-03-21,Suns,,Shawn Marion,strained lower back,(DNP)
7883,2002-03-22,76ers,,Aaron McKie,sprained left ankle,(DNP)
7884,2002-03-22,76ers,,Allen Iverson,broken left index finger,(out 4-6 weeks)
7885,2002-03-22,Bucks,,Glenn Robinson,bruised tailbone,(DNP)
7886,2002-03-22,Bucks,,Tim Thomas,sprained right knee,(DNP)
7887,2002-03-22,Magic,,Tracy McGrady,back spasms,(left game)
7888,2002-03-22,Raptors,,Vince Carter,left knee injury,(DNP)
7889,2002-03-22,Rockets,,Eddie Griffin,sprained left middle toe,(DNP)
7890,2002-03-23,Grizzlies,,Brevin Knight,plantar fasciaitis in left foot,(DNP)
7891,2002-03-23,Nuggets,,Tim Hardaway Sr.,fractured bone in left foot,(out for season)
7892,2002-03-23,Spurs,,Steve Smith,sprained right ankle,(DNP)
7893,2002-03-24,Bucks,,Tim Thomas,sprained right knee,(DNP)
7894,2002-03-24,Hornets,,Elden Campbell,pulled right hamstring,(DNP)
7895,2002-03-24,Kings,,Mateen Cleaves,strained right plantar fasciaitis,(DNP)
7896,2002-03-24,Kings,,Predrag Stojakovic / Peja Stojakovic,strained right hamstring,(DNP)
7897,2002-03-24,Knicks,,Othella Harrington,sprained right ankle,(DNP)
7898,2002-03-24,Magic,,Tracy McGrady,back spasms,(DNP)
7899,2002-03-24,Pacers,,Brad Miller,sore left groin,(DNP)
7900,2002-03-24,Raptors,,Chris Childs,bruised hip,(DNP)
7901,2002-03-24,Raptors,,Vince Carter,sore left quadriceps,(DNP)
7902,2002-03-24,Rockets,,Eddie Griffin,sprained left middle toe,(DNP)
7903,2002-03-25,Blazers,,Rasheed Wallace,strained lower back,(DNP)
7904,2002-03-25,Cavaliers,,Lamond Murray,back spasms,(DNP)
7905,2002-03-25,Cavaliers,,Tyrone Hill,sinus infection,(DNP)
7906,2002-03-25,Grizzlies,,Brevin Knight,plantar fasciaitis in left foot,(DNP)
7907,2002-03-25,Knicks,,Allan Houston,sprained left ankle,(DNP)
7908,2002-03-25,Nuggets,,Tim Hardaway Sr.,fractured bone in left foot,(DNP)
7909,2002-03-25,Raptors,,Vince Carter,arthroscopic surgery on left knee,(out for season)
7910,2002-03-25,Sonics,,Art Long,strained right hamstring,(DNP)
7911,2002-03-25,Spurs,,Steve Smith,sprained right ankle,(DNP)
7912,2002-03-26,Bucks,,Ray Allen,sore left knee,(DNP)
7913,2002-03-26,Bucks,,Sam Cassell,sprained left big toe,(DNP)
7914,2002-03-26,Bulls,,Jamal Crawford,sore left knee,(DNP)
7915,2002-03-26,Cavaliers,,Lamond Murray,back spasms,(DNP)
7916,2002-03-26,Cavaliers,,Tyrone Hill,sinus infection,(DNP)
7917,2002-03-26,Cavaliers,,Wesley Person,back spasms,(DNP)
7918,2002-03-26,Cavaliers,,Zydrunas Ilgauskas,back spasms,(DNP)
7919,2002-03-26,Jazz,,Donyell Marshall,strained left calf,(DNP)
7920,2002-03-26,Kings,,Hidayet Turkoglu / Hedo Turkoglu,food poisoning,(DNP)
7921,2002-03-26,Kings,,Predrag Stojakovic / Peja Stojakovic,strained right hamstring,(DNP)
7922,2002-03-26,Mavericks,,Adrian Griffin,sprained left ankle,(DNP)
7923,2002-03-26,Mavericks,,Wang Zhizhi / Wang Zhi-Zhi,sprained left ankle,(DNP)
7924,2002-03-26,Nuggets,,Carlos Arroyo,flu,(DNP)
7925,2002-03-26,Nuggets,,Tim Hardaway Sr.,fractured bone in left foot,(DNP)
7926,2002-03-26,Rockets,,Eddie Griffin,sprained left middle toe,(DNP)
7927,2002-03-26,Wizards,,Tyronn Lue,sinus infection,(DNP)
7928,2002-03-27,Grizzlies,,Brevin Knight,sore left foot,(DNP)
7929,2002-03-27,Hornets,,Elden Campbell,strained right hamstring,(DNP)
