,Date,Team,Returned,Injured,Injury,Length
23410,2015-10-28,Pelicans,Jrue Holiday,,returned to lineup,(Length Undetermined)
23411,2015-10-28,Warriors,,Andrew Bogut,concussion,(DTD)
23412,2015-10-29,Mavericks,,Deron Williams,sprained left knee,(DTD)
23413,2015-10-29,Mavericks,,Wesley Matthews / Wes Matthews Jr.,rest,(DTD)
23414,2015-10-29,Pacers,Myles Turner,,returned to lineup,(Length Undetermined)
23415,2015-10-29,Pistons,,Jodie Meeks,fractured right foot,(out indefinitely)
23416,2015-10-30,76ers,Nik Stauskas,,returned to lineup,(Length Undetermined)
23417,2015-10-30,Bucks,,John Henson,sore left Achilles,(DTD)
23418,2015-10-30,Hornets,Jeremy Lamb,,returned to lineup,(Length Undetermined)
23419,2015-10-30,Nets,Jarrett Jack,,returned to lineup,(Length Undetermined)
23420,2015-10-30,Pistons,,Jodie Meeks,surgery on right foot to repair fracture,(date approximate)
23421,2015-10-31,Pacers,,Glenn Robinson III,shoulder injury,(DTD)
23422,2015-10-31,Pelicans,Luke Babbitt,,returned to lineup,(Length Undetermined)
23423,2015-10-31,Pelicans,Omer Asik,,returned to lineup,(Length Undetermined)
23424,2015-11-01,Mavericks,Deron Williams,,returned to lineup,(Length Undetermined)
23425,2015-11-01,Mavericks,Wesley Matthews / Wes Matthews Jr.,,returned to lineup,(Length Undetermined)
23426,2015-11-01,Pelicans,,Kendrick Perkins,strained right pectoral muscle,(DTD)
23427,2015-11-01,Rockets,,Dwight Howard,rest,(DTD)
23428,2015-11-01,Rockets,,Terrence Jones,placed on IL with facial,(eyelid) injury
23429,2015-11-02,76ers,Robert Covington,,returned to lineup,(Length Undetermined)
23430,2015-11-02,Knicks,Kevin Seraphin,,returned to lineup,(Length Undetermined)
23431,2015-11-02,Rockets,,Chuck Hayes,foot injury,(DTD)
23432,2015-11-02,Rockets,Dwight Howard,,returned to lineup,(Length Undetermined)
23433,2015-11-03,76ers,,Robert Covington,sprained MCL in right knee,(DTD)
23434,2015-11-03,Cavaliers,,J.R. Smith,bruised right knee,(DTD)
23435,2015-11-03,Hawks,,Mike Muscala,sore right ankle,(DTD)
23436,2015-11-03,Nuggets,,Joffrey Lauvergne,strained lower back,(DTD)
23437,2015-11-03,Nuggets,,Nikola Jokic,strained lower back,(DTD)
23438,2015-11-03,Pacers,,Ian Mahinmi,sore lower back,(DTD)
23439,2015-11-03,Pacers,Glenn Robinson III,,returned to lineup,(Length Undetermined)
23440,2015-11-03,Pelicans,,Omer Asik,sprained right calf,(DTD)
23441,2015-11-03,Lakers,,Larry Nance Jr.,nose injury,(DTD)
23442,2015-11-04,Bucks,,Michael Carter-Williams,strained left ankle,(DTD)
23443,2015-11-04,Hawks,Mike Muscala,,returned to lineup,(Length Undetermined)
23444,2015-11-04,Magic,,Nikola Vucevic,sprained right knee,(DTD)
23445,2015-11-04,Pacers,,C.J. Miles,sore right ankle,(DTD)
23446,2015-11-04,Rockets,,Patrick Beverley,concussion,(DTD)
23447,2015-11-05,Nuggets,Nikola Jokic,,returned to lineup,(Length Undetermined)
23448,2015-11-06,Hawks,,Mike Muscala,ankle injury,(DTD)
23449,2015-11-06,Lakers,Larry Nance Jr.,,returned to lineup,(Length Undetermined)
23450,2015-11-06,Pacers,Ian Mahinmi,,returned to lineup,(Length Undetermined)
23451,2015-11-06,Rockets,,Dwight Howard,rest / back injury,(DTD)
23452,2015-11-06,Rockets,Chuck Hayes,,returned to lineup,(Length Undetermined)
23453,2015-11-06,Wizards,,Drew Gooden,back injury,(DTD)
23454,2015-11-06,Pelicans,,Norris Cole,sprained left ankle,(DTD)
23455,2015-11-07,Clippers,,Chris Paul,sore right groin,(DTD)
23456,2015-11-07,Hawks,Mike Muscala,,returned to lineup,(Length Undetermined)
23457,2015-11-07,Kings,,Darren Collison,sore hamstring,(DTD)
23458,2015-11-07,Kings,,Seth Curry,sprained right ankle,(DTD)
23459,2015-11-07,Pacers,,Rodney Stuckey,ankle injury,(DTD)
23460,2015-11-07,Pelicans,,Jrue Holiday,lower right leg injury,(DTD)
23461,2015-11-07,Rockets,Dwight Howard,,returned to lineup,(Length Undetermined)
23462,2015-11-08,Cavaliers,,Anderson Varejao,DNP,(Length Undetermined)
23463,2015-11-08,Knicks,Louis Amundson / Lou Amundson,,returned to lineup,(Length Undetermined)
23464,2015-11-09,76ers,,Nerlens Noel,sore left wrist,(DTD)
23465,2015-11-09,Bulls,,Joakim Noah,sore left knee,(DTD)
23466,2015-11-09,Clippers,Chris Paul,,returned to lineup,(Length Undetermined)
23467,2015-11-09,Grizzlies,,Brandan Wright,sore right knee,(DTD)
23468,2015-11-09,Magic,,Jason Smith,sore left knee,(DTD)
23469,2015-11-09,Nets,,Brook Lopez,sore right foot,(DTD)
23470,2015-11-09,Nuggets,,Jameer Nelson,sprained back / SI joint,(DTD)
23471,2015-11-09,Pacers,,Rodney Stuckey,sore right ankle,(DTD)
23472,2015-11-09,Pacers,C.J. Miles,,returned to lineup,(Length Undetermined)
23473,2015-11-09,Pacers,Rodney Stuckey,,returned to lineup,(Length Undetermined)
23474,2015-11-09,Wizards,,Bradley Beal,sore left shoulder,(DTD)
23475,2015-11-10,Cavaliers,J.R. Smith,,returned to lineup,(Length Undetermined)
